TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,1000.0,46981,30,0,"(640, 360)",375.47215237547215,363749.0,70.0,218.06382847527698,1000.0,215.95551935682658,6.437521274574171,"[375.47215237547215, 531.1643045311642, 1031.0798890310798, 1990.943065990943]"
1000.0,1,1000.0,42762,28,0,"(640, 360)",341.7539043417539,363749.0,81.81952126666667,0.0,1787.4847815888133,203.74640639272513,9.933075159999998,"[341.7539043417539, 475.04448047504445, 871.0161128710162, 1707.235057707235]"
2000.0,2,1000.0,15506,40,0,"(640, 360)",123.92395212392395,363749.0,86.55512526666666,0.0,2660.046439776276,124.87189040563106,24.249485000000004,"[123.92395212392395, 173.96985617396987, 334.1295363341295, 622.4009766224009]"
3000.0,3,1000.0,67711,24,0,"(640, 360)",541.1463125411462,363749.0,45.14007253333333,0.0,3381.624550890357,275.9448324039523,12.697253813333338,"[541.1463125411462, 776.5426807765426, 1306.492201306492, 2542.542914542543]"
4000.0,4,1000.0,13729,40,0,"(640, 360)",109.72216810972216,363749.0,93.92127723333334,0.0,4263.723170097221,119.72953588152386,-9.18394475333334,"[109.72216810972216, 152.03181615203184, 285.7539602857539, 508.5709205085709]"
5000.0,5,3156.76212310791,45433,40,0,"(640, 360)",114.66330918592976,363749.0,50.55010416666666,0.0,7202.838822463966,211.47585430149852,36.06594239649124,"[114.66330918592976, 171.19366074659362, 351.80105475455053, 677.7938423963125]"
8156.76212310791,6,1000.0,18353,40,0,"(640, 360)",146.67717614667717,363749.0,45.710669673684215,0.0,8071.389729654286,133.11065423800767,-7.419772816666676,"[146.67717614667717, 210.8849042108849, 413.6419444136419, 775.0481767750481]"
9156.76212310791,7,1000.0,35671,34,0,"(640, 360)",285.0826322850826,363749.0,45.939753966666665,0.0,8873.806931716976,183.2261835843716,0.9479751926315791,"[285.0826322850826, 410.90868041090863, 767.0961367670961, 1444.482073444482]"
10156.76212310791,8,2806.418687105179,123055,34,1,"(854, 480)",347.1019015080196,363749.0,67.53173693333333,0.0,11203.683270421914,436.10153965335553,3.7484186927450773,"[233.2046386500104, 347.1019015080196, 664.1068765271475, 1280.2786856923246]"
12963.180810213089,9,1000.0,31579,40,1,"(854, 480)",252.37936825237935,363749.0,72.2373234823529,0.0,12036.293947524513,171.3845883605974,7.529655966666674,"[171.3245041713245, 252.37936825237935, 479.73578447973574, 902.4566409024566]"
13963.180810213089,10,5753.678500652313,166382,40,1,"(854, 480)",230.5881448032625,363749.0,50.00416193333332,0.0,17195.729754339525,561.4829659144659,11.58764064709278,"[153.7887191185563, 230.5881448032625, 461.56018279275014, 880.1631338157059]"
19716.859310865402,11,1670.189082622528,129186,33,2,"(1280, 720)",607.326077068723,363749.0,51.29936567052025,0.0,18409.452406038963,453.84367560569166,10.99968223019609,"[232.37441103083853, 334.5873719370372, 607.326077068723, 1132.2781544594766]"
21387.04839348793,12,1724.2125272750854,139435,32,2,"(1280, 720)",642.9027565490229,363749.0,85.0001640392157,0.0,19643.582341604302,483.5026466341525,12.245016186794118,"[254.60673587432885, 355.4304499881273, 642.9027565490229, 1216.0491692544615]"
23111.260920763016,13,1000.0,54766,40,2,"(1280, 720)",437.68987243768987,363749.0,87.2915879230769,0.0,20384.798670670432,238.4840674548427,17.555815839215697,"[164.1317041641317, 236.81894423681894, 437.68987243768987, 812.051136812051]"
24111.260920763016,14,2485.4175448417664,127857,40,2,"(1280, 720)",408.73317634384455,363749.0,64.88869640000001,0.0,22458.825016622653,449.99776161439263,18.766063316410232,"[136.54169445551113, 213.54300074765143, 408.73317634384455, 758.9329563241283]"
26596.678465604782,15,1000.0,128424,40,3,"(1920, 1080)",1026.3646090263646,363749.0,67.05104921333334,0.0,23044.48011392541,451.6385691637278,4.319148680000003,"[201.1906082011906, 290.5012082905012, 555.4679765554679, 1026.3646090263646]"
27596.678465604782,16,5477.979063987732,1724256,32,3,"(1920, 1080)",2505.5004935059555,363749.0,76.34669720000001,0.0,23982.218955076045,5022.14696684579,16.387028169575768,"[467.64384599708, 693.2594388236068, 1268.3724257134586, 2505.5004935059555]"
33074.657529592514,17,6396.108329296112,950386,38,3,"(1920, 1080)",1186.794592787282,368874.0,96.82022181818184,0.0,27388.90145363633,2802.9616936144635,6.29337568937499,"[210.75279961963074, 316.4057975719928, 613.6957289313228, 1186.794592787282]"
39470.765858888626,18,1000.0,97790,40,3,"(1920, 1080)",781.5376807815377,365215.0,81.54674234895832,0.0,28006.918375447753,361.85272265723796,23.9556967348485,"[146.3415121463415, 215.44833621544834, 414.1854004141854, 781.5376807815377]"
40470.765858888626,19,2754.1480660438538,449277,37,3,"(1920, 1080)",1297.8151508104902,365215.0,75.72905016666667,0.0,29284.40210841671,1374.9171252405758,8.4973688614897,"[246.52528529274554, 360.35929337236894, 689.2493634082897, 1297.8151508104902]"
43224.91392493248,20,2848.6441671848297,637863,36,3,"(1920, 1080)",1778.3028336288514,365215.0,86.08673849397589,0.0,30030.93954246951,1918.4642932029226,11.619268885658906,"[336.3191819165189, 504.0285258662027, 944.1777346581467, 1778.3028336288514]"
46073.55809211731,21,1200.3915905952454,205309,40,3,"(1920, 1080)",1367.3581690324934,365215.0,90.32028983720929,0.0,30520.100340055087,671.0789877211358,13.340289896753667,"[247.76536150069805, 374.7449427697779, 709.7896188897612, 1367.3581690324934]"
47273.949682712555,22,2059.707522392273,287568,36,3,"(1920, 1080)",1112.053501294269,367517.0,75.49289719444444,0.0,31683.12568902643,903.6439617615971,10.840455595273802,"[219.97210855909526, 315.98053883170144, 601.1596458705441, 1112.053501294269]"
49333.65720510483,23,4367.9211139678955,1190496,33,3,"(1920, 1080)",2178.8801653062724,367517.0,88.95966848387097,0.0,32365.465275529175,3489.7842663346905,14.137129752311289,"[412.02844724754164, 609.1294562069696, 1126.5040477799553, 2178.8801653062724]"
