TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,2246.634691953659,36384,40,0,"(640, 360)",128.2856810416865,1433520.0,70.0,107.75855982363386,2246.634691953659,106.71671645210465,12.901002416117331,"[128.2856810416865, 185.26392987726405, 372.65044055892275, 708.1416135139995]"
2246.634691953659,1,1501.673400402069,20672,40,0,"(640, 360)",107.74607327796267,1433520.0,43.551443808823535,0.0,3649.032354109894,95.17941849433562,11.844392782608693,"[107.74607327796267, 150.88724242084663, 292.9763341212404, 567.3921145010517]"
3748.308092355728,2,1000.0,19469,37,0,"(640, 360)",155.59624815559624,1433520.0,46.31121443478261,0.0,4552.798260463548,94.29605740451916,-2.0651154808823504,"[155.59624815559624, 214.61716821461715, 387.3083043873083, 697.7735286977735]"
4748.308092355728,3,1000.0,21061,37,0,"(640, 360)",168.3195121683195,1433520.0,62.15004816666667,0.0,5456.4762446975255,95.4650606089978,-3.0640208834782543,"[168.3195121683195, 237.09067223709067, 459.8117284598117, 853.1140328531139]"
5748.308092355728,4,1000.0,18675,40,0,"(640, 360)",149.2506001492506,1433520.0,60.94516760000001,0.0,6364.194128228719,93.7130243992704,5.128332950000004,"[149.2506001492506, 216.52725621652726, 419.82775241982773, 802.5006968025007]"
6748.308092355728,5,1000.0,16851,40,0,"(640, 360)",134.67319213467317,1433520.0,44.043430433333334,0.0,7269.125109530469,92.37366394388785,3.660139016666683,"[134.67319213467317, 199.11268819911268, 383.44017638344013, 727.216056727216]"
7748.308092355728,6,1000.0,17727,40,0,"(640, 360)",141.67418414167417,1433520.0,44.57005716666666,0.0,8177.269289048117,93.0169094257492,-12.912959963333323,"[141.67418414167417, 208.05573620805572, 391.3682403913682, 748.9463047489463]"
8748.308092355728,7,1000.0,19211,40,0,"(640, 360)",153.5343121535343,1433520.0,44.15230513333335,0.0,9075.78899498269,94.10660839273808,-11.772323116666673,"[153.5343121535343, 227.9877842279878, 436.42713643642713, 824.7744008247744]"
9748.308092355728,8,1000.0,63788,32,1,"(854, 480)",509.7936965097937,1433520.0,42.68476056666666,0.0,9937.187418291118,126.83943241663509,7.011042566666655,"[352.8468003528468, 509.7936965097937, 952.0549929520549, 1805.7684258057684]"
10748.308092355728,9,1000.0,25469,40,1,"(854, 480)",203.54824820354824,1433520.0,77.37712179999998,0.0,10840.786477422109,98.70184837617231,-11.030084656666661,"[140.14771214014772, 203.54824820354824, 396.4032003964032, 762.173064762173]"
11748.308092355728,10,1000.0,61257,31,1,"(854, 480)",489.56594448956594,1433520.0,47.063985666666674,0.0,11708.51354159703,124.98092292509274,5.517701300000011,"[340.0276323400276, 489.56594448956594, 887.5355768875355, 1672.5178096725176]"
12748.308092355728,11,1000.0,30986,40,1,"(854, 480)",247.6401122476401,1433520.0,80.42568913333335,0.0,12605.166760639573,102.75297317460738,-9.75338664666667,"[170.36546417036544, 247.6401122476401, 466.1973364661973, 877.6175048776174]"
13748.308092355728,12,2228.2317876815796,81018,40,1,"(854, 480)",289.923504933196,1433520.0,49.92168653333333,0.0,14692.008826674417,139.49139549023238,20.644082685572165,"[192.7562960481202, 289.923504933196, 572.1353266215447, 1060.877118979553]"
15976.539880037308,13,1000.0,81014,28,1,"(854, 480)",647.4638886474638,1433520.0,49.56321289552237,0.0,15540.647204591864,139.48845829625125,13.041635186666655,"[454.76078445476077, 647.4638886474638, 1153.9648811539648, 2220.113666220114]"
16976.539880037308,14,3580.15900850296,181737,40,2,"(1280, 720)",403.4560956198295,1433520.0,88.38967306666665,0.0,18925.669409983755,213.4492056358878,-0.34944380621891313,"[136.26802501051725, 203.7537975870823, 403.4560956198295, 778.6538143480805]"
20556.698888540268,15,1000.0,42063,40,2,"(1280, 720)",336.1674963361675,1433520.0,66.0114624722222,0.0,19823.938994333334,110.88679760677434,19.825715099999982,"[128.7431281287431, 187.55625618755624, 336.1674963361675, 616.8625206168624]"
21556.698888540268,16,1000.0,46229,40,2,"(1280, 720)",369.4621683694621,1433520.0,67.12791593333333,0.0,20720.92693707057,113.94588513809218,-1.3819243272222081,"[136.19966413619966, 196.23556819623556, 369.4621683694621, 677.1062166771062]"
22556.698888540268,17,1117.6875531673431,52758,40,2,"(1280, 720)",372.0369371370545,1433520.0,67.03203653333335,0.0,21711.975306148302,118.74012001374606,-1.2079705227451085,"[134.35724938914097, 199.1629556761407, 372.0369371370545, 689.6977261588692]"
23674.38644170761,18,1000.0,65789,37,2,"(1280, 720)",525.7856885257856,1433520.0,67.50803511764704,0.0,22576.528552676467,128.30876370568143,3.65592336666665,"[185.68612818568613, 272.1435842721435, 525.7856885257856, 950.928120950928]"
24674.38644170761,19,3633.3775222301483,905563,31,3,"(1920, 1080)",1991.9064495995294,1433520.0,75.59854503333331,0.0,25527.03605728596,635.817944884534,14.73707419465731,"[394.21386483803826, 581.5060338688525, 1029.463536955213, 1991.9064495995294]"
28307.76396393776,20,1764.7742331027985,314768,40,3,"(1920, 1080)",1423.9392457172585,2150280.0,94.14646284403669,0.0,27035.31330928891,234.0891125072573,5.387072904213845,"[239.19906584070097, 367.6742430454046, 705.1251530307871, 1423.9392457172585]"
30072.538197040558,21,1000.0,231024,37,3,"(1920, 1080)",1846.3438098463437,2150280.0,79.9115456792453,0.0,27830.666464410264,193.09371704835502,13.950304227370033,"[335.31235233531237, 496.7187844967188, 956.6184249566184, 1846.3438098463437]"
31072.538197040558,22,1000.0,186202,40,3,"(1920, 1080)",1488.1263854881265,2150280.0,90.39231723333332,0.0,28660.833141525196,171.151898944862,7.570249795911963,"[263.67206426367204, 397.8018003978018, 775.184040775184, 1488.1263854881265]"
32072.538197040558,23,3710.993140935898,626711,38,3,"(1920, 1080)",1341.6093356560084,2150280.0,74.68259176666666,0.0,31963.32951311348,386.7952961817457,14.522141389583311,"[232.21828865929726, 352.5178816559497, 691.5899354306983, 1341.6093356560084]"
35783.531337976456,24,2553.2801151275635,492564,34,3,"(1920, 1080)",1533.729093006637,2150280.0,81.74035168750001,0.0,34162.48993302419,383.3896197606578,11.203089264891762,"[290.620246641414, 423.9921906745819, 800.1569338122306, 1533.729093006637]"
38336.81145310402,25,1000.0,112803,40,3,"(1920, 1080)",901.5215769015215,1433520.0,89.45224740259738,0.0,34995.10216184947,162.83107316256488,7.6679900708333335,"[189.86594418986593, 271.0966322710966, 497.8296724978297, 901.5215769015215]"
