File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
lumos5g_trace_3.csv,QAOCS-RBA,2.53,2.33,45.82,98.57495668458134,0.81,6950.691431939246,1.56,0.08,0.03,149.29
ghent_trace_2.csv,QAOCS-RBA,2.05,1.85,48.61,98.95814673889305,0.86,7463.466991897186,1.27,0.08,0.05,146.28
lumos5g_trace_4.csv,QAOCS-RMPC,1.83,1.55,48.97,98.89481045965026,1.08,7322.974467621048,1.14,0.26,0.15,136.21
oboe_trace_2.csv,QAOCS-RMPC,2.29,0.78,8.36,98.5153913741259,1.19,3570.7649408000234,1.43,0.10,0.60,54.32
hsr_trace_2.csv,QAOCS-RMPC,1.91,1.44,43.64,99.06190319917144,0.70,6734.886386608967,1.19,0.08,0.20,121.30
oboe_trace_1.csv,QAOCS-RMPC,2.28,0.35,5.12,98.23890414787905,1.50,1293.9673165689862,21.13,29.40,0.34,24.82
hsr_trace_1.csv,QAOCS-RMPC,2.88,1.47,30.30,98.51772264848431,1.15,5248.097830271691,1.79,0.10,0.48,82.53
fcc18_trace_3.csv,QAOCS-RMPC,2.36,0.71,9.78,98.51392936354787,1.04,3208.651850723988,1.45,0.10,0.70,48.92
fcc18_trace_1.csv,QAOCS-RMPC,2.01,1.01,8.29,98.75495268564865,1.03,5018.565262401389,2.50,1.76,0.61,80.47
lumos5g_trace_1.csv,QAOCS-RMPC,2.15,1.84,49.05,98.53872451838095,1.49,7230.373205641665,1.33,0.08,0.13,138.31
lab_trace_1.csv,QAOCS-RMPC,2.07,1.85,46.29,98.68829057169818,0.71,6656.276804033629,1.27,0.08,0.13,146.35
fcc18_trace_2.csv,QAOCS-RMPC,2.15,0.50,6.32,98.7156839604841,1.02,2337.6379450642735,2.67,0.89,0.72,37.16
ghent_trace_1.csv,QAOCS-RMPC,2.21,1.85,49.43,98.84106532639275,0.90,7253.134701956248,1.37,0.12,0.10,135.28
hsr_trace_3.csv,QAOCS-RMPC,2.04,0.90,25.95,98.69042415102538,0.85,4512.2854790495285,1.23,0.09,0.30,72.86
oboe_trace_3.csv,QAOCS-RMPC,2.13,0.98,6.05,99.05173476230296,0.73,5016.212036292727,1.30,0.58,0.55,75.79
ghent_trace_0.csv,QAOCS-RMPC,2.11,1.98,47.07,98.9117851851176,0.81,7834.323979524724,1.32,0.10,0.03,150.24
lab_trace_3.csv,QAOCS-RMPC,2.41,2.02,48.52,98.82258196508403,0.86,6909.866696948436,1.47,0.08,0.10,137.25
ghent_trace_3.csv,QAOCS-RMPC,1.91,1.28,46.89,98.78982552035974,1.01,6193.769909836705,1.19,0.08,0.21,107.54
lab_trace_2.csv,QAOCS-RMPC,2.08,1.79,48.44,98.85339488830988,0.87,7065.289256299938,1.30,0.09,0.09,137.54
oboe_trace_0.csv,QAOCS-RMPC,2.24,0.59,11.37,98.71171825934628,1.30,2848.707138264939,1.39,0.09,0.65,42.64
lumos5g_trace_2.csv,QAOCS-RMPC,2.03,1.63,46.78,98.55606035907105,1.28,7048.205013933671,1.27,0.08,0.09,128.87
lumos5g_trace_3.csv,QAOCS-RMPC,1.79,1.55,52.34,98.84153586213137,0.81,7616.521781344611,1.11,0.08,0.08,139.27
ghent_trace_2.csv,QAOCS-RMPC,2.37,2.15,46.64,98.77955696101098,0.89,7071.2069670500605,1.47,0.09,0.06,146.39
lumos5g_trace_4.csv,QAOCS-BOLA,2.27,1.93,49.19,98.77571201511566,1.16,7258.344622128382,1.39,0.10,0.07,138.75
oboe_trace_2.csv,QAOCS-BOLA,2.15,0.70,25.56,97.87785571655665,2.40,2331.737631653945,2.67,3.95,0.27,52.86
hsr_trace_2.csv,QAOCS-BOLA,2.21,1.89,45.95,98.85116048682262,0.81,7396.746828899658,1.35,0.08,0.05,140.14
oboe_trace_1.csv,QAOCS-BOLA,2.48,0.36,9.25,97.7109920918184,3.01,1190.427108032449,7.69,18.77,0.03,23.37
hsr_trace_1.csv,QAOCS-BOLA,2.20,1.33,20.35,98.78206659438679,0.88,5584.311296997868,1.37,0.09,0.33,96.73
fcc18_trace_3.csv,QAOCS-BOLA,2.09,0.52,26.61,98.62661400729827,1.06,1985.0156837381514,1.30,0.10,0.14,39.92
fcc18_trace_1.csv,QAOCS-BOLA,2.50,1.00,24.39,98.54359472402398,0.97,3619.4293561648833,1.54,0.10,0.25,65.09
lumos5g_trace_1.csv,QAOCS-BOLA,2.20,1.72,48.24,98.75604364780392,1.11,6811.675981279772,1.37,0.09,0.04,125.27
lab_trace_1.csv,QAOCS-BOLA,2.09,1.94,47.26,98.67239902028008,1.20,7032.534165505633,1.30,0.10,0.04,149.03
fcc18_trace_2.csv,QAOCS-BOLA,2.39,0.41,39.18,98.53606700206414,1.58,1464.9359918200457,1.47,0.54,0.06,27.60
ghent_trace_1.csv,QAOCS-BOLA,2.03,1.83,43.95,98.66831861006797,1.15,7481.829502108742,1.25,0.09,0.06,146.69
hsr_trace_3.csv,QAOCS-BOLA,2.51,1.26,16.74,98.62816042827662,1.14,4549.091304067785,6.25,19.78,0.34,80.80
oboe_trace_3.csv,QAOCS-BOLA,2.12,0.91,21.40,98.82876250702546,0.87,3599.8916586082523,1.32,0.09,0.39,69.47
ghent_trace_0.csv,QAOCS-BOLA,2.03,1.86,50.67,98.94147536351433,0.73,7468.8817423683695,1.27,0.09,0.04,147.08
lab_trace_3.csv,QAOCS-BOLA,2.17,1.79,49.23,98.96053563531427,0.60,7869.037477385413,1.33,0.09,0.04,134.23
ghent_trace_3.csv,QAOCS-BOLA,2.60,2.49,39.95,98.37630533067427,1.55,7706.605776664005,1.61,0.09,0.05,154.49
lab_trace_2.csv,QAOCS-BOLA,1.68,1.52,47.16,98.70911174475398,0.89,7462.790188029281,1.03,0.09,0.03,147.08
oboe_trace_0.csv,QAOCS-BOLA,2.20,0.56,19.37,98.34700350578875,1.55,2061.1409582866895,2.74,4.02,0.22,40.58
lumos5g_trace_2.csv,QAOCS-BOLA,2.26,1.96,50.58,98.36931836206286,1.72,7078.857269556985,1.41,0.08,0.04,139.44
lumos5g_trace_3.csv,QAOCS-BOLA,1.94,1.58,50.24,98.59890674694334,1.05,6981.590534608203,1.19,0.08,0.05,132.56
