File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
fcc18_trace_4.txt.csv,QAOCS_BBA,2.57,0.63,8.14,96.41797385324062,3.31,2012.2282278069702,6.35,6.70,0.27,39.87
fcc18_trace_1.txt.csv,QAOCS_BBA,1.89,0.90,14.50,97.55186519852782,2.88,3997.8686944782853,1.16,0.37,0.16,77.67
ghent_trace_0.txt.csv,QAOCS_BBA,1.86,2.33,47.18,98.03241499132834,1.38,9701.096562488867,1.16,0.09,0.03,200.14
lumos5g_trace_4.txt.csv,QAOCS_BBA,2.04,2.44,40.91,97.35099742291547,2.30,8254.77490513841,1.27,0.22,0.04,193.00
ghent_trace_1.txt.csv,QAOCS_BBA,1.86,2.03,46.30,98.36403354022389,1.50,9464.94811285192,1.12,0.56,0.03,180.75
lab_trace_4.txt.csv,QAOCS_BBA,1.95,2.21,44.22,98.41219454999774,1.31,9261.989260711189,1.20,0.12,0.04,183.79
oboe_trace_3.txt.csv,QAOCS_BBA,2.33,1.07,12.43,96.81660506908177,3.63,3685.9721970312457,4.35,4.26,0.17,73.76
lab_trace_2.txt.csv,QAOCS_BBA,2.05,2.65,43.96,98.36831061420506,1.19,9284.263988418157,1.27,0.19,0.04,209.16
lumos5g_trace_1.txt.csv,QAOCS_BBA,2.25,2.33,48.81,97.70463950664835,2.37,8587.092787351383,1.41,0.08,0.04,165.34
lab_trace_0.txt.csv,QAOCS_BBA,2.42,2.82,45.29,97.15605541617379,2.89,8972.186229669753,1.47,0.11,0.04,191.69
ghent_trace_5.txt.csv,QAOCS_BBA,2.20,2.62,37.54,98.44176709383538,1.23,9498.291466518614,1.35,0.15,0.04,193.86
hsr_trace_4.txt.csv,QAOCS_BBA,2.81,0.93,9.81,97.97388828947308,1.72,2780.408780791506,8.77,29.81,0.28,52.79
ghent_trace_2.txt.csv,QAOCS_BBA,2.04,2.44,45.75,98.62883864620953,0.99,9564.575267179742,1.27,0.16,0.04,192.48
lab_trace_3.txt.csv,QAOCS_BBA,2.43,2.60,49.75,97.72475941448931,1.97,9285.02789316329,1.49,0.09,0.04,173.91
hsr_trace_3.txt.csv,QAOCS_BBA,2.50,1.24,15.46,97.94522498139345,1.65,4517.815235812864,6.15,15.74,0.26,80.29
hsr_trace_1.txt.csv,QAOCS_BBA,2.10,1.30,16.33,98.45241856786414,1.36,5137.1131935511785,1.30,0.86,0.23,100.30
lab_trace_5.txt.csv,QAOCS_BBA,1.88,2.13,45.35,97.7227133758902,1.54,8744.939369766169,1.16,0.09,0.03,183.45
fcc18_trace_3.txt.csv,QAOCS_BBA,2.60,0.79,9.02,96.75086726281833,3.49,2447.304799574524,3.17,2.97,0.43,49.95
ghent_trace_3.txt.csv,QAOCS_BBA,2.12,2.46,34.07,98.20701310273448,1.35,9775.68598236743,1.32,0.09,0.11,186.86
lumos5g_trace_3.txt.csv,QAOCS_BBA,1.95,2.25,46.82,97.94090003226866,1.76,8982.438973713326,1.22,0.08,0.04,184.09
oboe_trace_0.txt.csv,QAOCS_BBA,2.29,0.64,7.69,97.2730895769548,3.58,2096.68483371752,5.71,4.22,0.33,44.60
oboe_trace_4.txt.csv,QAOCS_BBA,2.14,0.99,13.46,97.55653287618632,2.21,3658.986241243393,1.33,0.45,0.17,74.26
ghent_trace_4.txt.csv,QAOCS_BBA,2.29,2.78,49.47,98.64547737679275,1.07,10377.367328769074,1.43,0.12,0.04,194.57
lumos5g_trace_2.txt.csv,QAOCS_BBA,2.50,2.92,53.80,98.45011320043693,1.34,10176.858852416286,1.56,0.09,0.05,186.93
lumos5g_trace_5.txt.csv,QAOCS_BBA,2.23,2.33,49.00,98.28211627689402,1.25,8584.949080784294,1.37,0.08,0.04,169.75
fcc18_trace_0.txt.csv,QAOCS_BBA,2.06,0.57,8.98,95.96321117795934,5.62,2317.0770894363873,3.85,2.17,0.29,44.40
lab_trace_1.txt.csv,QAOCS_BBA,1.89,2.06,47.29,98.42862120317461,1.07,8733.26789318051,1.18,0.11,0.04,174.97
oboe_trace_1.txt.csv,QAOCS_BBA,2.47,0.51,4.93,96.48222046522278,3.96,1680.2735259194308,40.00,85.09,0.09,33.14
hsr_trace_2.txt.csv,QAOCS_BBA,2.24,2.51,37.78,98.16214541698966,1.15,9189.479032062054,1.39,0.16,0.04,180.36
