episode,total_reward,duration_sec,steps,avg_reward_per_step,avg_reward_per_sec
119,613.3611,271.81,38,16.1411,2.2566
120,698.0268,279.97,41,17.0250,2.4932
121,524.6890,252.85,36,14.5747,2.0751
122,635.2015,269.78,40,15.8800,2.3545
123,646.9266,288.65,42,15.4030,2.2412
124,791.6981,315.03,52,15.2250,2.5131
125,648.7951,283.66,42,15.4475,2.2872
126,661.8155,264.66,41,16.1418,2.5007
127,720.3772,274.59,43,16.7530,2.6235
128,673.8667,282.98,46,14.6493,2.3813
129,746.5953,305.69,49,15.2366,2.4423
130,738.9439,267.80,39,18.9473,2.7593
131,688.4325,285.81,45,15.2985,2.4087
132,645.9946,285.40,43,15.0231,2.2635
133,717.6316,294.22,47,15.2688,2.4391
134,634.8530,249.50,36,17.6348,2.5445
135,698.3415,280.42,44,15.8714,2.4903
136,582.4343,233.72,34,17.1304,2.4921
137,518.9318,280.90,42,12.3555,1.8474
138,737.4090,293.20,47,15.6896,2.5150
139,679.9406,280.03,43,15.8126,2.4281
140,704.6241,297.30,45,15.6583,2.3700
141,629.2877,278.70,40,15.7322,2.2579
142,760.5528,302.34,49,15.5215,2.5155
143,667.1899,275.68,40,16.6797,2.4201
144,756.6659,275.62,42,18.0159,2.7453
145,673.6669,289.95,42,16.0397,2.3234
146,810.6958,316.56,50,16.2139,2.5610
147,701.5078,271.84,41,17.1099,2.5806
148,860.1449,334.26,55,15.6390,2.5733
149,567.2365,239.09,34,16.6834,2.3725
150,612.4991,273.89,40,15.3125,2.2363
151,644.5333,270.36,40,16.1133,2.3840
152,782.0442,287.72,45,17.3788,2.7181
153,669.4155,275.41,42,15.9385,2.4306
154,576.6361,300.46,48,12.0133,1.9192
155,723.4041,303.30,49,14.7633,2.3851
156,761.7150,275.38,42,18.1361,2.7661
157,701.7141,272.96,41,17.1150,2.5708
158,666.5291,292.87,44,15.1484,2.2758
159,775.7150,299.56,47,16.5046,2.5895
160,1087.0903,381.94,69,15.7549,2.8462
161,711.5506,290.28,44,16.1716,2.4513
162,675.0350,272.00,39,17.3086,2.4817
163,711.3947,275.99,42,16.9380,2.5776
164,614.4774,282.81,42,14.6304,2.1727
165,785.5401,280.74,43,18.2684,2.7981
166,699.6059,301.08,46,15.2088,2.3237
167,676.6254,291.31,44,15.3778,2.3227
168,671.6688,287.39,44,15.2652,2.3371
169,705.1103,287.01,42,16.7883,2.4567
170,706.4772,290.69,45,15.6995,2.4304
171,729.6050,309.99,48,15.2001,2.3536
172,537.1217,287.17,44,12.2073,1.8704
173,586.5443,254.97,38,15.4354,2.3004
174,573.3791,258.15,36,15.9272,2.2211
175,710.8941,283.16,46,15.4542,2.5106
176,776.9508,310.47,48,16.1865,2.5025
177,725.5931,294.20,45,16.1243,2.4663
178,972.1803,352.41,60,16.2030,2.7586
179,748.3299,300.57,47,15.9219,2.4897
180,880.3362,329.34,54,16.3025,2.6731
181,801.5370,326.04,52,15.4142,2.4584
182,750.4656,298.15,47,15.9674,2.5171
183,677.0634,273.58,41,16.5137,2.4748
184,809.6951,272.72,42,19.2785,2.9690
185,481.6667,245.41,35,13.7619,1.9627
186,716.2506,287.85,42,17.0536,2.4883
187,681.7355,259.16,37,18.4253,2.6305
188,749.1232,309.95,49,15.2882,2.4169
189,832.1168,325.82,53,15.7003,2.5539
190,831.1474,329.35,55,15.1118,2.5236
191,725.5762,288.81,46,15.7734,2.5123
192,774.9646,300.18,47,16.4886,2.5817
193,762.9074,296.70,46,16.5849,2.5713
194,702.7531,257.94,39,18.0193,2.7245
195,567.7894,236.32,33,17.2057,2.4026
196,912.7011,336.52,58,15.7362,2.7122
197,622.7817,271.88,40,15.5695,2.2906
198,751.8865,301.09,46,16.3454,2.4973
199,510.5839,280.35,41,12.4533,1.8212
200,700.3853,279.11,41,17.0826,2.5094
201,316.9640,254.95,37,8.5666,1.2432
202,741.6463,280.36,43,17.2476,2.6453
203,671.5759,290.83,44,15.2631,2.3091
204,624.1699,280.60,42,14.8612,2.2244
205,856.4106,317.85,53,16.1587,2.6944
206,583.6907,247.67,36,16.2136,2.3567
207,706.5402,282.51,41,17.2327,2.5009
208,886.1126,321.37,54,16.4095,2.7573
209,760.2202,302.99,47,16.1749,2.5091
210,834.9789,328.82,53,15.7543,2.5393
211,721.2428,290.41,43,16.7731,2.4835
212,698.6661,281.86,44,15.8788,2.4788
213,726.6737,291.17,47,15.4611,2.4957
214,799.8872,310.32,49,16.3242,2.5776
215,703.8377,284.51,44,15.9963,2.4739
216,540.2270,239.48,33,16.3705,2.2558
217,1025.7832,366.81,66,15.5422,2.7965
218,502.6993,269.30,39,12.8897,1.8667
219,875.9280,321.97,52,16.8448,2.7205
220,841.3859,323.07,54,15.5812,2.6043
221,686.9156,283.69,42,16.3551,2.4213
222,737.0808,291.48,47,15.6826,2.5288
223,919.3822,331.22,56,16.4175,2.7757
224,803.1932,321.01,52,15.4460,2.5020
225,907.7321,333.70,59,15.3853,2.7202
226,688.5238,293.41,45,15.3005,2.3466
227,736.8471,296.16,46,16.0184,2.4880
228,771.7214,309.56,49,15.7494,2.4929
229,753.3790,301.23,47,16.0293,2.5010
230,814.9495,318.73,52,15.6721,2.5568
231,713.3358,300.30,46,15.5073,2.3754
232,698.4103,283.56,44,15.8730,2.4630
233,342.8450,273.51,41,8.3621,1.2535
234,922.3388,334.35,57,16.1814,2.7586
235,750.8127,289.09,45,16.6847,2.5971
