episode,total_reward,average_loss,policy_loss,value_loss,entropy_loss,duration_sec,steps
393,1462.2046,1.1103,0.1791,0.9494,-0.0182,885.02,87
394,1728.4438,0.9015,0.1636,0.7561,-0.0182,1057.99,101
395,1805.6432,0.9015,0.1636,0.7561,-0.0182,1081.98,104
396,1532.8992,1.3116,0.2464,1.0833,-0.0182,970.35,90
397,2004.7940,1.3116,0.2464,1.0833,-0.0182,1137.59,110
398,1688.0191,0.7593,0.1314,0.6461,-0.0182,1040.36,97
399,1913.3584,0.7593,0.1314,0.6461,-0.0182,1076.28,107
400,1125.0439,1.9289,0.2044,1.7427,-0.0182,626.35,62
401,409.7324,1.9289,0.2044,1.7427,-0.0182,300.10,27
402,1869.0883,1.9289,0.2044,1.7427,-0.0182,1128.21,105
403,2073.5445,2.0843,0.1640,1.9384,-0.0182,943.70,92
404,1564.9137,2.0843,0.1640,1.9384,-0.0182,959.49,89
405,1566.2059,1.2569,0.1183,1.1568,-0.0182,959.83,93
406,1484.6639,1.2569,0.1183,1.1568,-0.0182,1021.38,89
407,-142.9500,1.2569,0.1183,1.1568,-0.0182,1002.97,90
408,1680.4038,1.5289,0.1641,1.3829,-0.0182,1077.42,99
409,1503.5724,1.5289,0.1641,1.3829,-0.0182,896.71,87
410,1480.5717,1.1530,0.1997,0.9714,-0.0182,1036.54,93
411,1772.2206,1.1530,0.1997,0.9714,-0.0182,1160.78,109
412,401.7462,2.4395,0.1887,2.2689,-0.0182,286.95,27
413,73.0907,2.4395,0.1887,2.2689,-0.0182,483.77,30
414,1508.3233,2.4395,0.1887,2.2689,-0.0182,1049.61,94
415,1734.2461,0.5802,0.1097,0.4886,-0.0182,1069.97,100
416,1516.3560,0.5802,0.1097,0.4886,-0.0182,1025.51,88
417,1683.1865,1.7046,0.0985,1.6243,-0.0182,1022.03,97
418,1869.8661,1.7046,0.0985,1.6243,-0.0182,1105.04,108
419,1460.5701,1.7046,0.0985,1.6243,-0.0182,901.74,80
420,1905.9575,1.0070,0.1662,0.8590,-0.0182,1125.16,106
421,1446.8427,1.0070,0.1662,0.8590,-0.0182,915.06,82
422,1834.6376,1.7090,0.1354,1.5918,-0.0182,977.12,105
423,1352.3404,1.7090,0.1354,1.5918,-0.0182,627.92,78
424,652.4572,2.3011,0.1987,2.1205,-0.0182,237.47,32
425,973.9848,2.3011,0.1987,2.1205,-0.0182,482.79,59
426,1797.4229,2.3011,0.1987,2.1205,-0.0182,776.34,102
427,1564.6761,1.6892,0.1477,1.5597,-0.0182,704.59,90
428,1731.9603,1.6892,0.1477,1.5597,-0.0182,772.90,99
429,2106.2085,2.4290,0.0800,2.3672,-0.0182,804.18,119
430,1258.2694,2.4290,0.0800,2.3672,-0.0182,396.95,79
431,1658.2617,1.9851,0.0822,1.9211,-0.0182,407.07,94
432,1568.1609,1.9851,0.0822,1.9211,-0.0182,389.13,88
433,1679.5308,1.1418,0.1629,0.9970,-0.0182,420.08,98
434,1635.9705,1.1418,0.1629,0.9970,-0.0182,455.22,98
435,1242.8555,2.5303,0.0513,2.4971,-0.0182,344.68,74
436,354.7761,2.5303,0.0513,2.4971,-0.0182,93.48,20
437,1589.0374,2.5303,0.0513,2.4971,-0.0182,391.05,89
438,1723.4321,1.5176,0.1136,1.4222,-0.0182,415.05,98
439,1745.6055,1.5176,0.1136,1.4222,-0.0182,420.42,99
440,483.4601,1.5176,0.1136,1.4222,-0.0182,409.70,85
441,1829.1645,2.0678,0.1870,1.8990,-0.0182,444.83,107
442,1558.8398,2.0678,0.1870,1.8990,-0.0182,380.89,83
443,1594.4045,2.8513,0.1635,2.7059,-0.0182,395.51,90
444,1558.1984,2.8513,0.1635,2.7059,-0.0182,405.05,94
445,1758.4222,2.1294,0.1422,2.0053,-0.0182,420.18,99
446,1707.6135,2.1294,0.1422,2.0053,-0.0182,409.34,96
447,760.7191,1.9488,0.1464,1.8206,-0.0182,175.39,40
448,812.4423,1.9488,0.1464,1.8206,-0.0182,221.78,50
449,1702.6139,1.9488,0.1464,1.8206,-0.0182,424.20,100
450,1660.5625,1.9855,0.0886,1.9150,-0.0182,405.48,90
451,1831.4873,1.9855,0.0886,1.9150,-0.0182,445.10,107
452,2120.6495,1.3489,0.1996,1.1674,-0.0182,445.74,104
453,1683.2026,1.3489,0.1996,1.1674,-0.0182,422.96,100
454,1491.5838,2.0260,0.1183,1.9258,-0.0182,380.62,87
455,1607.7539,2.0260,0.1183,1.9258,-0.0182,397.68,91
456,1689.8104,1.3404,0.1921,1.1664,-0.0182,413.75,97
457,1670.7865,1.3404,0.1921,1.1664,-0.0182,402.96,93
458,1451.7417,0.9176,0.1262,0.8096,-0.0182,352.48,81
459,169.0489,0.9176,0.1262,0.8096,-0.0182,49.15,11
460,1808.9927,0.9176,0.1262,0.8096,-0.0182,435.25,104
461,1658.3791,0.8243,0.0915,0.7509,-0.0182,401.79,94
462,2032.7859,0.8243,0.0915,0.7509,-0.0182,458.87,109
463,1955.9365,0.8864,0.2402,0.6643,-0.0182,468.29,114
464,1569.4800,0.8864,0.2402,0.6643,-0.0182,393.05,91
465,1635.3596,1.7567,0.1868,1.5881,-0.0182,405.39,88
466,1718.5046,1.7567,0.1868,1.5881,-0.0182,427.18,102
467,1719.9695,0.7292,0.1287,0.6187,-0.0182,412.54,97
468,1768.2678,0.7292,0.1287,0.6187,-0.0182,421.71,101
469,1623.9242,0.9667,0.0925,0.8924,-0.0182,411.34,96
470,1795.5962,0.9667,0.0925,0.8924,-0.0182,435.80,104
471,1685.5971,0.4816,0.0895,0.4103,-0.0182,406.22,93
472,1811.5081,0.4816,0.0895,0.4103,-0.0182,436.87,104
473,1490.3963,0.4816,0.0895,0.4103,-0.0182,383.07,87
474,1968.0137,1.4410,0.1228,1.3364,-0.0182,458.78,111
475,1679.9947,0.7649,0.2719,0.5112,-0.0182,408.80,95
476,1609.0948,0.7649,0.2719,0.5112,-0.0182,391.90,90
477,1861.1869,0.7649,0.2719,0.5112,-0.0182,418.28,97
478,1541.6913,2.7003,0.0803,2.6381,-0.0182,402.60,94
479,1527.1474,2.7003,0.0803,2.6381,-0.0182,394.30,91
480,1606.3695,2.4067,0.0981,2.3267,-0.0182,410.72,94
481,1654.0211,2.4067,0.0981,2.3267,-0.0182,421.39,99
482,1420.7166,1.4864,0.2436,1.2609,-0.0182,359.82,80
483,1541.3266,1.4864,0.2436,1.2609,-0.0182,389.51,89
484,1729.5507,1.0796,0.2121,0.8857,-0.0182,414.80,97
485,2038.0078,1.0796,0.2121,0.8857,-0.0182,451.90,104
486,1679.2885,1.2965,0.1124,1.2023,-0.0182,414.25,97
487,1698.2871,1.2965,0.1124,1.2023,-0.0182,405.52,95
488,1647.9486,1.3180,0.1657,1.1705,-0.0182,410.77,96
489,1864.1009,1.3180,0.1657,1.1705,-0.0182,452.31,109
490,2062.0219,1.2378,0.1974,1.0586,-0.0182,465.98,114
491,1503.2536,1.2378,0.1974,1.0586,-0.0182,378.53,86
492,1773.7203,1.7238,0.1541,1.5879,-0.0182,439.83,98
493,1442.5029,1.7238,0.1541,1.5879,-0.0182,378.51,80
494,1688.6051,1.2015,0.1206,1.0990,-0.0182,402.44,94
495,1533.8741,1.2015,0.1206,1.0990,-0.0182,385.35,88
496,1550.5205,1.2015,0.1206,1.0990,-0.0182,384.71,88
497,1633.8110,2.1714,0.0968,2.0927,-0.0182,408.54,94
498,1637.5093,2.1714,0.0968,2.0927,-0.0182,393.78,91
499,1833.9814,0.9327,0.1818,0.7691,-0.0182,435.95,104
