File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
oboe_trace_19.txt.csv,QAOCS,2.27,0.97,18.97,98.03893722423582,1.96,3535.332170930495,1.12,0.25,0.24,86.29
lab_trace_7.txt.csv,QAOCS,2.02,1.58,48.15,98.08734383241026,1.61,5956.00198836763,0.99,0.09,0.03,159.11
lab_trace_6.txt.csv,QAOCS,2.56,1.99,48.36,98.69428470760397,1.17,6604.3331778574375,1.27,0.41,0.04,157.32
hsr_trace_20.txt.csv,QAOCS,2.35,1.40,26.10,98.13882192518535,1.93,4886.172641500394,2.33,2.91,0.17,120.03
lumos5g_trace_10.txt.csv,QAOCS,2.39,1.65,50.76,98.15363223796359,2.04,5973.695710559247,1.18,0.10,0.04,140.39
HSDPA_trace_16.csv,QAOCS,3.26,0.46,6.42,96.02809303271138,5.37,1152.5449508134202,22.58,74.69,0.16,28.76
hsr_trace_12.txt.csv,QAOCS,1.97,1.27,27.48,98.22145147175476,1.43,5756.553344324408,0.96,0.10,0.03,132.22
oboe_trace_12.txt.csv,QAOCS,2.21,0.58,13.19,96.54093981934531,3.07,2091.7241783144577,1.09,0.13,0.17,53.09
lab_trace_0.txt.csv,QAOCS,2.02,1.54,49.89,98.12616271257798,1.49,6177.359650652222,0.97,0.08,0.03,158.33
lab_trace_17.txt.csv,QAOCS,2.02,1.41,50.76,98.02352030808395,1.81,5719.953713343037,1.00,0.10,0.03,141.19
ghent_trace_13.txt.csv,QAOCS,1.91,1.37,51.42,98.02160441864137,1.99,5724.532229959395,0.94,0.09,0.03,145.74
fcc18_trace_13.txt.csv,QAOCS,2.13,1.21,21.12,97.80568665718238,2.54,4564.084519434886,1.05,0.24,0.28,115.31
lab_trace_2.txt.csv,QAOCS,1.83,1.38,50.18,98.64935917953578,1.09,6015.600600664713,0.91,0.12,0.03,151.69
lumos5g_trace_17.txt.csv,QAOCS,2.20,1.68,51.59,98.06451208253374,2.06,6318.734516352774,1.08,0.08,0.03,155.79
ghent_trace_9.txt.csv,QAOCS,2.07,1.54,49.39,97.7675556908153,1.64,5966.405540760072,1.01,0.12,0.03,152.47
HSDPA_trace_6.csv,QAOCS,2.15,0.52,12.37,97.53608310207099,2.23,2126.9998121546346,1.06,0.84,0.23,48.89
lumos5g_trace_13.txt.csv,QAOCS,2.05,1.50,53.20,97.61967952328943,2.34,6375.428047352243,1.01,0.08,0.03,148.92
oboe_trace_8.txt.csv,QAOCS,4.41,0.54,6.28,92.7104730473237,9.01,1003.3473852767193,54.35,431.36,0.37,24.94
ghent_trace_11.txt.csv,QAOCS,2.00,1.59,50.78,98.50600548866129,1.39,6336.260548622129,0.99,0.13,0.03,161.06
lumos5g_trace_7.txt.csv,QAOCS,2.10,1.51,51.42,98.5673749498537,1.28,5812.86839303804,1.04,0.09,0.03,145.04
hsr_trace_1.txt.csv,QAOCS,2.11,1.28,22.28,98.4330819424269,0.97,5062.27652732081,1.04,0.15,0.22,123.10
HSDPA_trace_2.csv,QAOCS,1.94,0.45,11.68,96.51955507471074,3.71,1911.3299248425599,0.96,0.30,0.18,47.21
oboe_trace_15.txt.csv,Segue,1.59,0.54,31.70,96.22920962315865,2.07,2786.6651962344226,3.15,3.09,0.36,68.62
lumos5g_trace_5.txt.csv,Segue,1.59,0.86,53.07,98.04176640115078,1.18,4925.084632543802,3.15,0.42,0.04,108.89
fcc18_trace_6.txt.csv,Segue,1.59,0.84,51.99,97.95522212026313,1.21,4769.462421950487,3.15,1.09,0.06,106.17
HSDPA_trace_11.txt.csv,Segue,1.59,0.24,19.86,92.46476872555998,2.78,1266.4401337703055,3.15,8.64,0.24,30.80
fcc18_trace_12.txt.csv,Segue,1.59,0.54,31.57,96.35982019021942,2.04,2795.946348904658,3.15,2.96,0.38,69.06
hsr_trace_13.txt.csv,Segue,1.59,0.22,18.49,92.2137363187309,2.86,1181.5765252269384,3.15,2.79,0.20,28.46
oboe_trace_20.txt.csv,Segue,1.59,0.24,20.27,92.49613182237421,2.81,1269.6965345790238,3.15,9.73,0.23,30.87
lab_trace_20.txt.csv,Segue,1.59,0.85,52.91,98.01665830472923,1.18,4866.92076930658,3.15,0.54,0.04,107.41
