TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,6650.850862264633,282607,24,0,"(640, 360)",339.1283830435808,11625000.0,70.0,107.55045630740504,6650.850862264633,105.58976796830787,15.535867462499997
6650.850862264633,1,1000.0,118815,15,0,"(640, 360)",950.52,11625000.0,95.8931124375,0.0,7553.843274737045,90.75857385398982,17.177071919999996
7650.850862264633,2,1138.9236748218536,158286,22,1,"(854, 480)",1085.389404174456,11625000.0,98.6284532,0.0,8591.68112756545,94.33263157894737,14.376666520833325
8789.774537086487,3,2197.405159473419,1394737,15,2,"(1280, 720)",5052.632913604968,11625000.0,93.03289183333334,0.0,10568.46726252976,206.29197509903793,15.858980245454546
10987.179696559906,4,1000.0,1173867,15,3,"(1920, 1080)",9390.936,11625000.0,95.5389459090909,0.0,11377.571038472435,186.29242784380307,12.254714696666664
11987.179696559906,5,1000.0,635632,23,3,"(1920, 1080)",5085.056,11625000.0,94.2633398,0.0,12243.19601999116,137.55581211092246,13.221723309090898
12987.179696559906,6,1231.4816117286682,2071902,15,3,"(1920, 1080)",13260.1728,11625000.0,94.6344452,0.0,13217.905369195762,267.60855687606113,13.132463320000003
14218.661308288574,7,1080.800473690033,313787,29,3,"(1920, 1080)",2317.197020676006,11625000.0,95.93132883333334,0.0,14199.90438123602,108.41308432371251,13.31162486666667
15299.461781978607,8,1000.0,791809,17,3,"(1920, 1080)",6334.472,11625000.0,92.64564066666667,0.0,15055.104398545054,151.69747594793435,13.02122127666666
16299.461781978607,9,1000.0,355905,17,3,"(1920, 1080)",2847.24,11625000.0,96.02392359999999,0.0,15943.378888012243,112.22682512733446,13.525087173333329
17299.461781978607,10,1000.0,257465,22,3,"(1920, 1080)",2059.72,11625000.0,96.31608539999999,0.0,16833.615472621143,103.31318619128467,13.694236319999996
18299.461781978607,11,2755.130022764206,564114,22,3,"(1920, 1080)",1616.5652995145913,11625000.0,97.16104779999999,0.0,19458.19048147412,131.07993208828523,13.750183874285705
21054.591804742813,12,4349.177837371826,3961507,15,3,"(1920, 1080)",7243.898514285715,11625000.0,97.30298735714284,0.0,23383.63242340731,433.0211863970793,14.11284239523809
25403.76964211464,13,3370.795965194702,1530099,23,3,"(1920, 1080)",3626.9013333333337,12375000.0,96.0964108095238,0.0,26530.150904589394,210.15196172248804,14.2303330630252
28774.56560730934,14,1000.0,1618291,15,3,"(1920, 1080)",12946.328,12375000.0,96.14530858823528,0.0,27319.57549561612,217.6536735778841,13.16812499904762
29774.56560730934,15,2238.1409406661987,1761054,20,3,"(1920, 1080)",6261.525333333333,12375000.0,96.2962768,0.0,29321.109281558198,229.79725677830942,13.207083906417104
32012.70654797554,16,3314.097285270691,4868932,15,3,"(1920, 1080)",11685.437968543796,12375000.0,95.87644936363635,0.0,32154.071541879963,494.1568952684743,13.300424456250013
35326.80383324623,17,1847.2221195697784,460724,26,3,"(1920, 1080)",1965.7557333333334,12375000.0,95.99170468749998,0.0,33871.2063159025,119.18970760233918,13.744530974747462
37174.02595281601,18,1000.0,286435,25,3,"(1920, 1080)",2291.48,12375000.0,94.26383677777778,0.0,34774.348750186124,104.36448697501329,13.926003387499975
38174.02595281601,19,1744.385153055191,1667669,15,3,"(1920, 1080)",7623.629714285715,12375000.0,94.1314026,0.0,36382.41938592801,126.9202070237616,13.002831455555555
39918.4111058712,20,1000.0,876803,15,3,"(1920, 1080)",7014.424,51000000.0,95.71535855555555,0.0,37284.84011146609,98.09706914344684,12.852898660000003
40918.4111058712,21,1000.0,873812,15,3,"(1920, 1080)",6990.496,51000000.0,95.4433982,0.0,38180.90479876978,98.03533539731683,12.977653555555563
41918.4111058712,22,1000.0,789846,15,3,"(1920, 1080)",6318.768,51000000.0,95.47540999999998,0.0,39084.20810210908,96.30229102167183,12.774791700000002
42918.4111058712,23,1000.0,793920,17,3,"(1920, 1080)",6351.36,51000000.0,95.337213,0.0,39984.37341440921,96.38637770897833,12.987995599999977
43918.4111058712,24,1000.0,651058,18,3,"(1920, 1080)",5208.464,51000000.0,94.97482880000001,0.0,40886.8126019236,93.43772961816306,13.349485420000006
44918.4111058712,25,3969.428539276123,2025678,21,3,"(1920, 1080)",4051.356,51000000.0,96.47201120000001,0.0,44732.43332116895,121.80965944272447,13.644387350000011
48887.83964514732,26,1000.0,218709,31,3,"(1920, 1080)",1749.672,51000000.0,96.90311705000002,0.0,45647.28749041979,84.51411764705882,14.66562970000001
49887.83964514732,27,5704.71665263176,4964157,16,3,"(1920, 1080)",6957.067150777644,51000000.0,93.612763,0.0,51160.107392910526,182.45938080495358,13.50373395928571
55592.55629777908,28,3322.008728981018,1215934,15,3,"(1920, 1080)",2918.241891824189,51000000.0,96.99007610714285,0.0,54385.30300508701,105.09667698658411,13.867367024999997
58914.5650267601,29,1000.0,92848,27,3,"(1920, 1080)",742.784,51000000.0,97.047738875,0.0,55303.81914924749,81.9163673890609,14.664128207142852
59914.5650267601,30,5058.316484093666,896789,23,3,"(1920, 1080)",1411.3401581206663,51000000.0,94.6518958,0.0,59769.80591008595,98.50957688338494,13.609148664499987
64972.88151085377,31,1000.0,631270,15,3,"(1920, 1080)",5050.16,51000000.0,97.18987091999998,0.0,59672.36853467943,93.02930856553148,14.064261300000002
65972.88151085377,32,1000.0,522525,20,3,"(1920, 1080)",4180.2,47125000.0,97.5490848,0.0,59585.893747832284,91.67164595839732,14.794356988
66972.88151085377,33,1000.0,691528,16,3,"(1920, 1080)",5532.224,30000000.0,99.1889068,0.0,59989.236340194504,104.2641403508772,14.67233656
67972.88151085377,34,1000.0,369926,22,3,"(1920, 1080)",2959.408,69125000.0,99.0454084,0.0,59906.61500212764,85.63321214428477,14.63023368
68972.88151085377,35,1000.0,719537,15,3,"(1920, 1080)",5756.296,68000000.0,99.2485406,0.0,59821.86226894338,91.13834365325077,15.744963399999996
69972.88151085377,36,1000.0,321395,15,3,"(1920, 1080)",2571.16,41875000.0,96.60089,0.0,59738.674745672055,88.07905734485468,16.585064999999993
70972.88151085377,37,2076.008379459381,906926,15,3,"(1920, 1080)",3482.596397215423,36125000.0,95.32695120000001,0.0,59710.67269699301,106.42654525587325,13.81466730000001
73048.88989031315,38,1393.5945928096771,956572,15,3,"(1920, 1080)",5401.817081925393,88750000.0,95.57244539999999,0.0,59505.566619922465,91.34555374351372,14.344444651428578
74442.48448312283,39,1000.0,250134,28,3,"(1920, 1080)",2001.072,87500000.0,98.1285662857143,0.0,59923.38841066247,83.00913082706766,14.5117273
75442.48448312283,40,4394.009619951248,6652167,15,3,"(1920, 1080)",12049.207241569264,88250000.0,98.4482864,0.0,59654.448828608714,159.3459609363352,15.06785527142857
79836.49410307407,41,1586.1278474330902,1699387,15,3,"(1920, 1080)",8366.212923076922,115000000.0,99.8011865,0.0,59637.332360126646,95.55502974828376,14.334725735000003
81422.62195050716,42,1000.0,759437,15,3,"(1920, 1080)",6075.496,124375000.0,98.632590625,0.0,59557.831595362695,86.42739592700345,16.088982900000005
82422.62195050716,43,1000.0,176317,27,3,"(1920, 1080)",1410.536,122375000.0,97.42440719999999,0.0,59968.65552171508,81.5166238374281,16.39716962500001
83422.62195050716,44,2174.0948855876923,44667,40,3,"(1920, 1080)",161.81255272642304,141250000.0,94.47084199999999,0.0,59559.95710153246,80.33287005123428,18.468997927272717
85596.71683609486,45,6528.338551521301,1327779,15,2,"(1280, 720)",1623.780605157676,127500000.0,87.91081854545455,0.0,59503.32054545746,90.96205572755417,13.304051074999991
92125.05538761616,46,1587.8905951976776,439507,15,3,"(1920, 1080)",2163.726769230769,12125000.0,96.25189212499998,0.0,59976.407379720826,118.15578947368422,13.865530620454543
93712.94598281384,47,1000.0,333602,15,3,"(1920, 1080)",2668.816,9750000.0,96.094354125,0.0,59854.57422822338,116.01641025641027,13.128164824999985
94712.94598281384,48,4790.326118469238,1353294,15,3,"(1920, 1080)",2259.4124341278302,4250000.0,96.2474546,0.0,59720.765317442645,415.1811764705882,13.581173387499998
99503.27210128307,49,3369.2574501037598,1214789,18,3,"(1920, 1080)",2879.499851851852,3375000.0,96.984348,0.0,59888.884631616595,208.43126127404884,13.27283659999999
102872.52955138683,50,4182.213008403778,1792179,16,3,"(1920, 1080)",3406.9148045081033,13500000.0,95.94923600000001,0.0,59871.64196391976,219.74105263157895,14.359731714285713
107054.74255979061,51,1000.0,471647,15,3,"(1920, 1080)",3773.176,62375000.0,98.43027752380952,0.0,59781.32038221873,87.959447315684,14.66274116
108054.74255979061,52,1000.0,498510,15,3,"(1920, 1080)",3988.08,83000000.0,98.7627746,0.0,59687.07461738325,86.32225745085606,14.22106482380952
109054.74255979061,53,2396.6640532016754,1068441,15,3,"(1920, 1080)",3536.9076500817037,97875000.0,98.4184254,0.0,59989.45195533398,91.49092962290784,14.575364766666667
111451.40661299229,54,1841.251254081726,1355507,15,3,"(1920, 1080)",5783.496533333333,103750000.0,98.37481966666667,0.0,59734.418014809344,93.75276601141408,14.466568793333336
113292.65786707401,55,2264.5124197006226,620975,21,3,"(1920, 1080)",2167.7669574157153,132500000.0,98.84735222222223,0.0,59905.58368528168,84.93326713008938,15.872195803030309
115557.17028677464,56,2247.380882501602,222824,34,3,"(1920, 1080)",792.2631111111111,93000000.0,95.00524772727272,0.0,59569.0916162354,82.52205998868138,18.430322222222223
117804.55116927624,57,1000.0,877714,18,3,"(1920, 1080)",7021.712,90875000.0,90.83406000000001,0.0,59980.46902183156,90.16681676681387,13.961821627272723
118804.55116927624,58,1000.0,353941,26,3,"(1920, 1080)",2831.528,88625000.0,97.43724399999999,0.0,59896.69124869443,84.203886868087,15.164997519999998
119804.55116927624,59,1000.0,889683,15,3,"(1920, 1080)",7117.464,89750000.0,98.7473392,0.0,59804.02269631295,90.43463421785663,13.768607499999987
120804.55116927624,60,1000.0,529475,20,3,"(1920, 1080)",4235.8,105500000.0,97.33727300000001,0.0,59721.50286765215,85.28286355699676,14.458544879999996
121804.55116927624,61,1098.401129245758,736477,15,3,"(1920, 1080)",5237.169777777778,63750000.0,98.888798,0.0,59724.52232980231,92.16061093911249,14.569192099999992
122902.952298522,62,1000.0,475781,20,3,"(1920, 1080)",3806.248,0.0,98.83819899999999,0.0,59930.53592366723,824.1157923707909,15.351086199999997
123902.952298522,63,1301.9652366638184,343468,15,2,"(1280, 720)",2060.8085152021285,10750000.0,97.0754236,0.0,59612.543245523986,113.63211750305999,15.748754857142849
125204.91753518581,64,1000.0,542066,15,3,"(1920, 1080)",4336.528,12000000.0,96.17888828571428,0.0,59973.5250703765,127.54964912280701,13.720496899999986
126204.91753518581,65,1270.9876000881195,928300,15,3,"(1920, 1080)",5749.4694840078755,25625000.0,96.70985340000001,0.0,59622.5397224679,118.13299101412068,13.518025342857142
127475.90513527393,66,2635.0317001342773,265472,30,3,"(1920, 1080)",796.4159004480125,45375000.0,96.89319028571428,0.0,59679.79486502801,86.15855009424388,14.3079087846154
130110.93683540821,67,1000.0,551861,15,3,"(1920, 1080)",4414.888,14250000.0,94.80388923076923,0.0,59556.06239905406,120.76535549399816,13.915800251428575
131110.9368354082,68,1000.0,457966,17,3,"(1920, 1080)",3663.728,14125000.0,97.6751988,0.0,59937.96967327562,114.1288122962273,13.90781103692308
132110.9368354082,69,1000.0,512864,15,3,"(1920, 1080)",4102.912,14125000.0,97.3136666,0.0,59808.59105660945,118.21995342338147,14.347457400000003
133110.9368354082,70,1000.0,664666,15,3,"(1920, 1080)",5317.328,15500000.0,96.6554828,0.0,59673.987127902175,125.1386078098472,13.782588800000006
